player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Jamie Overton,CSK,AR,1,NO,NO,11,NO,NO,NO,-2,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,12
Reece Topley,MI,BOWL,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,6,NO,6
Donovan Ferreira,DC,BAT,1,NO,NO,NO,NO,NO,NO,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,5
Manoj Bhandage,RCB,AR,,NO,NO,NO,NO,NO,NO,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,5
Karim Janat,GT,AR,1,NO,NO,NO,NO,NO,NO,NO,NO,4,NO,NO,NO,NO,NO,NO,NO,NO,4
Rahul Chahar,SRH,BOWL,,NO,NO,NO,NO,NO,NO,4,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4
Sachin Baby,SRH,BAT,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4,NO,NO,NO,NO,NO,NO,4
T Natarajan,DC,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4,-2,NO,NO,NO,NO,NO,2
Fazalhaq Farooqi,RR,BOWL,1,-2,NO,NO,NO,4,NO,NO,NO,4,NO,-2,NO,-2,NO,NO,NO,NO,2
Kunal Singh Rathore,RR,WK,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,NO,NO,NO,NO,NO,2
Andre Siddarth,CSK,BAT,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Gurjapneet Singh,CSK,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Kamlesh Nagarkoti,CSK,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Ramakrishna Ghosh,CSK,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Shreyas Gopal,CSK,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Vansh Bedi,CSK,WK,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Ajay Mandal,DC,AR,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
Darshan Nalkande,DC,BOWL,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
